Ph-ID,Culture,Ph_cid,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,Active
180,Hokkaido Ainu,16809,4,1,4,3,3,4,1,4,1,1,0,0,1,1,0,2,3,1,1,0,1,0,1,1,1,0,4,1,1,0,1,3,4,3,0,1,0,2,1,2,1,5,3,4,2,4,1,2,5,5,2,1
181,Hokkaido Ainu,16809,3,2,1,2,3,6,1,5,1,2,0,0,0,0,0,0,0,1,1,0,4,0,3,1,1,0,1,1,1,1,0,3,2,4,0,3,0,1,2,1,1,3,2,2,1,2,7,1,5,4,2,1
182,Hokkaido Ainu,16809,4,2,3,4,1,4,1,5,1,1,0,0,1,1,0,1,1,1,3,0,4,0,0,1,2,0,0,0,1,1,1,3,0,4,0,3,0,1,1,1,1,3,3,3,2,3,6,1,5,4,2,1
183,Hokkaido Ainu,16809,4,1,3,3,2,4,1,6,1,1,0,0,1,1,0,1,1,4,1,0,1,0,1,3,2,0,1,1,1,0,1,2,1,4,0,4,0,3,1,3,1,3,3,2,3,3,4,2,5,6,2,1
184,Hokkaido Ainu,16809,2,1,1,4,1,3,1,7,1,1,0,0,0,0,0,0,0,1,2,0,3,0,0,1,4,0,0,0,1,0,0,4,0,1,0,4,0,3,1,3,1,2,2,2,1,3,5,3,3,5,4,1
185,Sakhalin Ainu,10209,3,1,3,3,1,5,1,5,1,1,0,0,4,1,0,1,1,1,2,0,3,0,0,1,1,0,0,0,1,0,1,3,0,3,0,4,0,5,1,1,2,3,1,3,3,3,3,1,4,5,3,1
186,Hokkaido Ainu,16809,4,1,3,6,1,3,1,4,1,3,0,0,1,1,0,1,1,1,2,0,1,0,0,4,1,0,0,0,1,0,3,4,0,1,0,1,0,3,1,2,1,4,2,3,4,4,1,1,4,5,3,1
187,Sakhalin Ainu,10209,7,1,1,1,1,5,1,1,3,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,3,0,0,3,1,1,1,1,1,3,3,3,6,2,3,2,4,4,1
188,Sakhalin Ainu,10209,3,1,2,3,4,4,1,5,1,3,0,0,1,1,0,1,2,1,1,0,1,0,1,1,1,0,1,4,1,0,1,1,4,1,0,4,0,1,1,1,1,4,1,3,1,7,1,1,5,2,0,1
199,Hanunoo,16545,2,1,2,4,3,3,1,5,1,1,0,0,1,1,0,1,1,1,3,0,2,0,1,1,4,0,1,1,1,0,1,1,1,1,0,1,0,2,1,6,1,4,2,3,2,4,1,2,5,5,5,1
